NMDS1,NMDS2,NMDS3,Treatment,Timepoint,trt_tp
-0.4284512922133975,0.04335661191052015,0.0805798098628491,F+W,t0,F+W_t0
-0.35309762101596753,0.15962599858733748,-0.14543302791613383,Tr+WM,t0,Tr+WM_t0
-0.2878215640073003,0.33095592237009075,-0.4119980603211194,CC+WM,t0,CC+WM_t0
-0.009462183686216584,0.2162696610793072,-0.2821313219828967,2spp,t0,2spp_t0
0.2966234163490673,0.6718627344602618,-1.021943241873819,2spp+WM,t0,2spp+WM_t0
-0.13857694998237768,0.10874103118019106,0.03666101740870993,F+WM,t0,F+WM_t0
0.7567871638145962,0.1465295694282605,-0.3871996896139129,Tr,t0,Tr_t0
0.9067983797193959,-0.005874606887783106,0.037083633601737574,CC,t0,CC_t0
-0.22815632705630018,-0.22371491657411346,0.05449854166360644,F+WM,t0,F+WM_t0
-0.3088922731772774,-0.14182123868710633,0.105732882353883,Tr,t0,Tr_t0
0.02970949865954876,-0.0994769244558617,0.0022776349071897645,CC+WM,t0,CC+WM_t0
0.12206956776828737,-0.0537227745795624,0.03623222625878197,2spp,t0,2spp_t0
-0.32232726859474115,-0.05661323977894707,0.07235477437481867,Tr+WM,t0,Tr+WM_t0
-0.25198093190543447,-0.06257782197169968,-0.0637425347005343,2spp+WM,t0,2spp+WM_t0
-0.22902244582817888,-0.0446373861684393,0.007196344517379716,CC,t0,CC_t0
-0.22732776696675008,-0.08062176279123527,0.025279478797338686,F+W,t0,F+W_t0
-0.30358626592808713,0.1160562121226974,-0.03920781061284732,F+W,t1,F+W_t1
-0.415182632133097,0.1977307913762782,0.06081893111900726,Tr+WM,t1,Tr+WM_t1
-0.2081847234475811,0.09616891435986173,-0.12439005659689106,CC+WM,t1,CC+WM_t1
-0.3581191009706206,0.07503825542249108,-0.4358243303293264,2spp,t1,2spp_t1
-0.4956682545072704,0.29472892424907354,-0.029378525141582422,F+WM,t1,F+WM_t1
-0.3525175727169535,0.2304931028133223,0.0724258553353129,Tr,t1,Tr_t1
0.07307281886100668,0.13260842466798947,-0.412432481419546,CC,t1,CC_t1
0.13292090440676982,0.16038751592351355,0.08627439008766218,2spp+WM,t1,2spp+WM_t1
-0.2920018261456643,0.09205070984240302,0.03661174094201715,2spp+WM,t1,2spp+WM_t1
-0.14591929604532666,0.21359620400519783,-0.016417076761098787,F+WM,t1,F+WM_t1
0.7913655591752153,0.08222892444953991,-0.004515906995209595,Tr,t1,Tr_t1
0.5156270266152783,0.43005215994414153,-0.33689473154526944,CC,t1,CC_t1
0.1711523434832254,0.06283750783991686,-0.03373795706082137,2spp,t1,2spp_t1
0.1876547938765218,-0.034771859865748066,0.007049569788429479,F+W,t1,F+W_t1
0.9151121581757743,-0.10514226737174644,0.1462439980935055,Tr+WM,t1,Tr+WM_t1
0.9102474502725874,-0.20448496034699337,0.08709052082320898,CC+WM,t1,CC+WM_t1
-0.16865507432262467,-0.15417372356028194,-0.12148409148967605,F+WM,t1,F+WM_t1
-0.10156460956406826,-0.058122984594390144,-0.2452426281538897,Tr,t1,Tr_t1
0.7046665447630809,0.26017798134425263,0.17814005256627838,CC+WM,t1,CC+WM_t1
0.5609794956153491,-0.1089773251791457,0.04200447029707529,2spp,t1,2spp_t1
-0.168808748878722,0.036001503056044035,-0.05796666572104451,F+W,t1,F+W_t1
-0.3698986573778388,0.09188714018706452,-0.18893501643553076,Tr+WM,t1,Tr+WM_t1
-0.023460457995308152,0.10908966580576461,-0.04312661985288905,CC,t1,CC_t1
-0.00269683566834391,0.4593599643599037,0.06263698300605705,2spp+WM,t1,2spp+WM_t1
-0.15931389234791907,0.7719882058968406,-0.5352716050621367,Tr+WM,t1,Tr+WM_t1
-0.12793433262543202,0.4159514642190348,0.1043065552015773,2spp+WM,t1,2spp+WM_t1
-0.12177568224933417,-0.060569015932464366,0.13669252547849575,CC,t1,CC_t1
-0.2047898557043798,0.05620999534514968,0.117534175730511,F+W,t1,F+W_t1
-0.4093948217478025,-0.08848066479405771,-0.05611096231473489,Tr,t1,Tr_t1
-0.21416835886067243,-0.2369530104460178,-0.11883768430403421,2spp,t1,2spp_t1
-0.1265295345109851,0.29806319841834855,-0.051289980651761706,CC+WM,t1,CC+WM_t1
-0.45961209545851006,-0.6942833873704891,0.16663407225469531,F+WM,t1,F+WM_t1
-0.5211548040498563,0.03258336794732569,0.06310056604736276,F+W,t2,F+W_t2
-0.19738286093135418,0.28974893184098693,-0.07811703604817444,Tr+WM,t2,Tr+WM_t2
-0.3120645109101437,0.8166069801417746,-0.03181801795637432,CC+WM,t2,CC+WM_t2
-0.3432616207573346,0.19062500222834924,-0.43019668153221974,2spp,t2,2spp_t2
-0.534872623501407,0.2228837822939174,0.012468955614576034,F+WM,t2,F+WM_t2
-0.2994969629484566,0.4280577227443975,0.033952012374391695,Tr,t2,Tr_t2
0.6265164624227125,0.18567300821153235,-0.166902519462386,CC,t2,CC_t2
0.258795837445883,0.10900479406536831,0.22657612782424336,2spp+WM,t2,2spp+WM_t2
-0.16055607130946925,0.13919570655311342,0.4688261948609429,2spp+WM,t2,2spp+WM_t2
-0.2377991193521203,-0.13986807556344694,0.40011764687602336,F+WM,t2,F+WM_t2
0.589317639109089,0.060608424246308926,-0.6631578413695399,Tr,t2,Tr_t2
0.6603984731448245,-0.06820594734388939,0.2049672758304891,CC,t2,CC_t2
0.21685076525281513,0.294389852852333,0.3960194852502464,2spp,t2,2spp_t2
0.19735176017914863,-0.38780487619279136,-0.15921405300359845,F+W,t2,F+W_t2
1.1754138820344302,-0.04342989294460997,0.05664971787534502,Tr+WM,t2,Tr+WM_t2
1.0497694539542088,-0.13934597534514342,0.5937105731947981,CC+WM,t2,CC+WM_t2
-0.06305592087721718,0.25082943473729524,-0.15177139919439123,F+WM,t2,F+WM_t2
-0.032084756759188995,-0.05130607960674718,0.04122579248801851,Tr,t2,Tr_t2
0.5860602258622275,0.16739769796084666,-0.26333987770798384,CC+WM,t2,CC+WM_t2
0.48867928093554186,-0.1548119175049812,-0.11458463444708074,2spp,t2,2spp_t2
-0.4551403542727948,-0.22459015107013197,0.3792896868008662,F+W,t2,F+W_t2
-0.40857531415330867,-0.6123051681592058,-0.4865495135675827,Tr+WM,t2,Tr+WM_t2
-0.0827169898300544,-0.1659912104015184,0.05426038714872702,CC,t2,CC_t2
-0.30365476293639637,-0.9963710440062005,0.22435625742554896,2spp+WM,t2,2spp+WM_t2
-0.24161712437259963,-0.17293897010744125,0.15392772988065906,Tr+WM,t2,Tr+WM_t2
-0.2482710697349586,-0.04227692921230353,0.3921459158779324,2spp+WM,t2,2spp+WM_t2
-0.12828880428267353,-0.15594409481995708,0.11787030535109795,CC,t2,CC_t2
-0.44049953706137096,-0.2193679385863075,-0.2918504720442922,F+W,t2,F+W_t2
-0.36745989043507993,-0.2466095093657357,0.5255297174386406,Tr,t2,Tr_t2
-0.3079576027137789,-0.14835871670852346,0.2497814259375947,2spp,t2,2spp_t2
-0.20115260973633256,-0.03621520844929005,-0.21569069820066303,CC+WM,t2,CC+WM_t2
-0.23674702411399332,0.20254068177768822,0.33629205782938976,F+WM,t2,F+WM_t2
-0.4050803510215623,0.09986854770622233,-0.3206439558205685,F+W,t3,F+W_t3
-0.4193807783048177,0.05261532621097741,0.008384173172664766,Tr+WM,t3,Tr+WM_t3
-0.2905817092008578,0.17665824131666122,-0.011949930018151846,CC+WM,t3,CC+WM_t3
-0.2936658832840961,0.2748294402189859,-0.4010644420381578,2spp,t3,2spp_t3
-0.4371398986759805,0.5080028665659093,0.22578934502870757,F+WM,t3,F+WM_t3
-0.25992748525813475,0.15063488276618095,-0.08450835741859744,Tr,t3,Tr_t3
0.6430755861819543,0.30324376370743494,-0.29267461515573545,CC,t3,CC_t3
0.5039066055208511,0.12482366306345019,-0.002048513794938507,2spp+WM,t3,2spp+WM_t3
0.13777701472608414,0.04156686080238961,-0.5653798677899308,2spp+WM,t3,2spp+WM_t3
-0.39814042335930894,-0.032079976566571446,0.1927737787587296,F+WM,t3,F+WM_t3
0.7626857831339138,0.23079460948449804,-0.26406192580051946,Tr,t3,Tr_t3
0.8031805417664778,0.08960016512188984,-0.23891476695976235,CC,t3,CC_t3
0.279736997432351,0.013926351238950061,-0.22234096599696165,2spp,t3,2spp_t3
0.3652232707457328,-0.9291313383172793,-0.3746609492628288,F+W,t3,F+W_t3
0.8431812278095361,0.1390540150784409,0.20218580748891501,Tr+WM,t3,Tr+WM_t3
1.1068180516830795,-0.10737367881084973,0.03188059106461555,CC+WM,t3,CC+WM_t3
-0.11935728250518526,0.3295626351298816,0.16219653590328442,F+WM,t3,F+WM_t3
-0.300461304328386,-0.07402169531736517,-0.1707353295914425,Tr,t3,Tr_t3
0.15157030161492913,0.013321353136245672,0.033034935869884235,CC+WM,t3,CC+WM_t3
0.8517283453533797,-0.07108161989269608,0.38682159847216063,2spp,t3,2spp_t3
-0.3320439376230971,0.04037250983096859,0.028778747871416172,F+W,t3,F+W_t3
-0.14596225881172564,0.386251661740515,0.5020961982106771,Tr+WM,t3,Tr+WM_t3
-0.09898569229132542,0.21058616511317257,-0.06222717424757257,CC,t3,CC_t3
-0.14767770295739036,0.08290543950799008,0.27473299965191184,2spp+WM,t3,2spp+WM_t3
-0.20054275781321437,0.016388261091467123,-0.08807723799523769,Tr+WM,t3,Tr+WM_t3
-0.19081214869722601,0.026840638094151426,0.27289555854972775,2spp+WM,t3,2spp+WM_t3
-0.31584262205406244,-0.34103391046007026,-0.07687031685160334,CC,t3,CC_t3
-0.26319595537559026,-0.2236274573188374,0.009902827921639061,F+W,t3,F+W_t3
-0.42902003443965603,-0.22856232884481106,0.4015146288295306,Tr,t3,Tr_t3
-0.7269559594583371,-1.3517356353214873,-0.5301016731211426,2spp,t3,2spp_t3
-0.1380072398642207,-0.06608995367916737,0.19782958624840274,CC+WM,t3,CC+WM_t3
-0.10995601645652762,0.17235423988066373,0.33028478831575175,F+WM,t3,F+WM_t3
-0.300905059782124,0.10357746432103818,-0.06972888593090897,F+W,t4,F+W_t4
0.05070466386749918,0.09809492523277509,-0.10450617050208452,Tr+WM,t4,Tr+WM_t4
-0.0931023459734769,0.0014508231491570556,0.4794819363757176,CC+WM,t4,CC+WM_t4
